Date,^gspc,^dji,^ixic,FZROX,FZILX,FEMKX,FNILX,FMSDX,FSSNX,FXNAX,FSHBX,FUAMX,FNBGX,VTI,VXUS,VWO,VV,VO,VB,BND,BSV,VTIP,VGIT,VGLT
2024-09-10,5495.52001953125,40736.9609375,17025.880859375,18.868200302124023,11.583389282226562,37.38670349121094,19.374841690063477,13.70444393157959,25.89493179321289,10.516741752624512,8.355222702026367,9.839144706726074,10.192344665527344,267.70269775390625,60.029014587402344,42.50078582763672,249.34576416015625,248.12081909179688,220.45851135253906,74.01194763183594,77.28598022460938,48.18606948852539,59.58367156982422,61.5460319519043
2024-09-11,5554.1298828125,40861.7109375,17395.529296875,19.065980911254883,11.67084789276123,38.032676696777344,19.5826416015625,13.773161888122559,25.974212646484375,10.506913185119629,8.355222702026367,9.829353332519531,10.182526588439941,270.366455078125,60.370643615722656,42.76337814331055,251.72291564941406,248.93780517578125,221.6456756591797,73.97267150878906,77.24669647216797,48.21555709838867,59.51498031616211,61.477500915527344
2024-09-12,5595.759765625,41096.76953125,17569.6796875,19.21431541442871,11.768023490905762,38.43019104003906,19.731069564819336,13.832064628601074,26.29133415222168,10.49708366394043,8.355222702026367,9.819563865661621,10.143248558044434,272.6142883300781,60.9172477722168,43.04541778564453,254.12982177734375,250.66038513183594,223.9705810546875,73.8941421508789,77.21722412109375,48.254878997802734,59.465904235839844,61.242557525634766
2024-09-13,5626.02001953125,41393.78125,17683.98046875,19.352760314941406,11.797176361083984,38.390445709228516,19.839916229248047,13.890965461730957,26.955307006835938,10.516741752624512,8.36501693725586,9.839144706726074,10.162887573242188,274.51556396484375,61.08318328857422,43.23992919921875,255.4867706298828,253.09169006347656,228.25428771972656,74.05120849609375,77.35472869873047,48.343345642089844,59.58367156982422,61.399192810058594
2024-09-16,5633.08984375,41622.078125,17592.130859375,19.382427215576172,11.865199089050293,38.450069427490234,19.86960220336914,13.94005012512207,27.044498443603516,10.54622745513916,8.36501693725586,9.858724594116211,10.251260757446289,275.0602111816406,61.48337936401367,43.405269622802734,255.8532257080078,254.66664123535156,229.79762268066406,74.24752807617188,77.40383911132812,48.392494201660156,59.67201232910156,61.8984489440918
2024-09-17,5634.580078125,41606.1796875,17628.060546875,19.402206420898438,11.84576416015625,38.47988510131836,19.879497528076172,13.94005012512207,27.242698669433594,10.526571273803711,8.36501693725586,9.839144706726074,10.211983680725098,275.33746337890625,61.28815841674805,43.453895568847656,255.8928680419922,255.31629943847656,231.15298461914062,74.14936065673828,77.34490203857422,48.41215896606445,59.58367156982422,61.634132385253906
2024-09-18,5618.259765625,41503.1015625,17573.30078125,19.352760314941406,11.806893348693848,38.31093978881836,19.820127487182617,13.910599708557129,27.252607345581055,10.49708366394043,8.355222702026367,9.799983978271484,10.094152450561523,274.6443176269531,61.08318328857422,43.298282623291016,255.1103973388672,254.46974182128906,231.28158569335938,73.92359161376953,77.25650787353516,48.37283706665039,59.44627380371094,60.96845245361328
2024-09-19,5713.64013671875,42025.19140625,18013.98046875,19.68898582458496,12.049833297729492,39.01653289794922,20.166458129882812,14.018584251403809,27.827390670776367,10.49708366394043,8.36501693725586,9.799983978271484,10.064696311950684,279.2984619140625,62.27400207519531,44.202762603759766,259.55767822265625,257.8656921386719,235.17947387695312,73.92359161376953,77.32527923583984,48.461307525634766,59.436458587646484,60.80203628540039
2024-09-20,5702.5498046875,42063.359375,17948.3203125,19.639541625976562,11.96237564086914,38.76808547973633,20.12687873840332,13.998950958251953,27.520179748535156,10.48725414276123,8.36501693725586,9.790192604064941,10.035238265991211,278.7142028808594,61.83484649658203,44.17740249633789,258.9336853027344,257.5310363769531,233.65594482421875,73.91377258300781,77.3940200805664,48.48096466064453,59.44627380371094,60.655189514160156
2024-09-23,5718.56982421875,42124.6484375,17974.26953125,19.68898582458496,12.010963439941406,38.99666213989258,20.186248779296875,14.028404235839844,27.430988311767578,10.477426528930664,8.36501693725586,9.790192604064941,10.015599250793457,279.4073791503906,62.15833282470703,44.53831100463867,259.7261047363281,258.8992614746094,234.27919006347656,73.86470794677734,77.36454010009766,48.471134185791016,59.416831970214844,60.537723541259766
